Gene_acc,Gene_id,bsf_median,pcf_median,rank_bsf_median,rank_pcf_median,Desc,Protein IDs
0,gene-Tb427.BES40.1,5.544396385104127,6.920657253925842,2602.0,5935.0,BES40.1,gene-Tb427.BES40.1
1,gene-Tb427.BES40.10,7.511284524567204,5.220351828888891,6247.0,1710.0,BES40.10,gene-Tb427.BES40.10;Tb11.57.0050.1-p1;Tb11.1140:pseudogenic_transcript-p1;Tb927.11.19120.1-p1;Tb927.11.20560:pseudogenic_transcript-p1;Tb927.11.19900:pseudogenic_transcript-p1;Tb05.5K5.500:pseudogenic_transcript-p1;Tb927.3.160:pseudogenic_transcript-p1;Tb927.11.18800.1-p1;Tb10.v4.0255:pseudogenic_transcript-p1;Tb10.v4.0147:pseudogenic_transcript-p1;Tb11.0220:pseudogenic_transcript-p1;Tb11.0700:pseudogenic_transcript-p1;Tb09.v4.0130:pseudogenic_transcript-p1;Tb927.11.17180:mRNA-p1;Tb09.v4.0033:pseudogenic_transcript-p1;Tb927.11.20150:pseudogenic_transcript-p1
2,gene-Tb427.BES40.13,4.241220572129368,5.31626036462371,91.0,2058.0,BES40.13,gene-Tb427.BES40.13
3,gene-Tb427.BES40.14,4.786403316735925,5.236870151378965,812.0,1766.0,BES40.14,gene-Tb427.BES40.14
4,gene-Tb427.BES40.15,5.336016151451228,5.064034918414964,2119.0,1177.0,BES40.15,gene-Tb427.BES40.15
5,gene-Tb427.BES40.16,7.78884016074888,5.18757701230163,6373.0,1598.0,BES40.16,gene-Tb427.BES40.16;Tb09.v4.0154:pseudogenic_transcript-p1
6,gene-Tb427.BES40.18,6.587848364603186,5.9089478878341275,5151.0,4116.0,BES40.18,gene-Tb427.BES40.18;Tb927.10.100:pseudogenic_transcript-p1
7,gene-Tb427.BES40.2,7.742537262299609,5.270831417351501,6354.0,1886.0,BES40.2,gene-Tb427.BES40.2
8,gene-Tb427.BES40.20,7.036381323048293,5.478695610660518,5796.0,2637.0,BES40.20,gene-Tb427.BES40.20;Tb927.10.20:mRNA-p1;Tb09.v4.0065:mRNA-p1
9,gene-Tb427.BES40.22,9.796741761340098,5.18237246031899,6643.0,1580.0,BES40.22,gene-Tb427.BES40.22
10,gene-Tb427.BES40.3,8.019237632855699,5.1139867503353855,6465.0,1355.0,BES40.3,gene-Tb427.BES40.3
11,gene-Tb427.BES40.4,7.573862457747777,5.21886070518989,6287.0,1702.0,BES40.4,gene-Tb427.BES40.4
12,gene-Tb427.BES40.7,5.828049759969937,5.031771070141444,3380.0,1058.0,BES40.7,gene-Tb427.BES40.7
13,gene-Tb427.BES40.8,6.653577458118478,5.746873244953812,5257.0,3558.0,BES40.8,gene-Tb427.BES40.8;Tb927.7.7510.1:mRNA-p1;Tb927.7.7510.2:mRNA-p1;Tb927.11.17590:mRNA-p1
14,gene-Tb427.BES40.9,6.6319961728140235,5.686009973010514,5218.0,3331.0,BES40.9,gene-Tb427.BES40.9
15,Tb04.24M18.150,5.116848635071726,5.258201461980324,1543.0,1832.0,"hypothetical protein, conserved",Tb04.24M18.150:mRNA-p1
16,Tb927.5.4450,5.588852263806126,6.300462163555411,2747.0,5051.0,"hypothetical protein, conserved",Tb927.5.4450:mRNA-p1;Tb05.5K5.100:mRNA-p1
17,Tb927.5.4460,7.123099319706912,6.548768144654586,5899.0,5481.0,"major vault protein, putative",Tb927.5.4460:mRNA-p1;Tb05.5K5.110:mRNA-p1
18,Tb927.5.4470,6.012561448759465,5.723237273758438,3875.0,3476.0,"hypothetical protein, conserved",Tb927.5.4470:mRNA-p1;Tb05.5K5.120:mRNA-p1
19,Tb927.5.4480,7.337368537213284,7.086573371320303,6129.0,6077.0,"paraflagellar rod component par4, putative",Tb927.5.4480:mRNA-p1;Tb05.5K5.130:mRNA-p1
20,Tb927.5.4500,7.753355442640284,6.973895000092186,6361.0,5984.0,"ras-like small GTPase, putative",Tb927.5.4500:mRNA-p1;Tb05.5K5.150:mRNA-p1
21,Tb927.5.4520,5.851941532036024,4.914913769872848,3450.0,721.0,Kinetochore interacting protein 1,Tb927.5.4520:mRNA-p1;Tb05.5K5.160:mRNA-p1
22,Tb927.5.4560,7.313638846246662,6.104001977812121,6104.0,4609.0,"guanine deaminase, putative",Tb927.5.4560:mRNA-p1;Tb11.v5.0409.1-p1;Tb05.5K5.200:mRNA-p1
23,Tb05.5K5.210,6.608860607072289,5.0218456912637475,5188.0,1034.0,hypothetical protein,Tb05.5K5.210:mRNA-p1;Tb927.5.4570:mRNA-p1
24,Tb927.5.4580,4.9455782163944475,5.291505322707774,1124.0,1960.0,Flagellum adhesion protein 3,Tb927.5.4580:mRNA-p1;Tb05.5K5.220:mRNA-p1
25,Tb927.5.4600,4.775731538513518,5.144063348590867,789.0,1452.0,"expression site-associated gene 3 (ESAG3) protein, putative",Tb927.5.4600:mRNA-p1;Tb11.v5.0367.1-p1;Tb05.5K5.240:mRNA-p1
26,Tb927.5.4380,7.11701544720589,6.559035915430039,5889.0,5496.0,Kinetoplastid-specific Protein Phosphatase 1,Tb927.5.4380:mRNA-p1;Tb05.5K5.30:mRNA-p1
27,Tb927.5.4390,7.640384050961193,6.866132462902697,6322.0,5886.0,"hypothetical protein, conserved",Tb927.5.4390:mRNA-p1;Tb05.5K5.40:mRNA-p1
28,Tb927.5.4400,6.482881965367823,5.596119628751275,4962.0,3024.0,"hypothetical protein, conserved",Tb927.5.4400:mRNA-p1;Tb05.5K5.50:mRNA-p1
29,Tb927.5.4410,6.119656932273392,6.646721288024907,4127.0,5618.0,"hypothetical protein, conserved",Tb927.5.4410:mRNA-p1;Tb05.5K5.60:mRNA-p1
30,Tb927.5.4420,7.055292245652405,6.824595652976611,5817.0,5838.0,"nucleolar RNA helicase II, putative",Tb927.5.4420:mRNA-p1;Tb05.5K5.70:mRNA-p1
31,Tb927.5.4430,5.685638665790615,5.073296608335236,3036.0,1214.0,"calcium/calmodulin-dependent protein kinase, putative",Tb927.5.4430:mRNA-p1;Tb05.5K5.80:mRNA-p1
32,Tb927.5.4440,6.936744903307936,5.437746501722276,5673.0,2503.0,"dynein light chain, putative",Tb927.5.4440:mRNA-p1;Tb05.5K5.90:mRNA-p1
33,Tb06.3A7.270,4.289355103337208,4.748193289862548,110.0,409.0,"hypothetical protein, conserved",Tb06.3A7.270:mRNA-p1
34,Tb06.3A7.960,6.405075765414615,5.851503824300781,4780.0,3908.0,hypothetical protein,Tb06.3A7.960:mRNA-p1
35,Tb07.11L3.100,5.093284280962341,5.247472650990775,1471.0,1799.0,SUMO-interacting motif-containing protein,Tb07.11L3.100:mRNA-p1;Tb927.7.2150:mRNA-p1
36,Tb927.7.2140,6.5774950873575895,6.570772837796349,5130.0,5517.0,"zinc finger protein family member, putative",Tb927.7.2140:mRNA-p1;Tb07.11L3.90:mRNA-p1
37,Tb09.v4.0009,4.3324422559580436,5.767758173833631,147.0,3616.0,"receptor-type adenylate cyclase, putative",Tb09.v4.0009:mRNA-p1;Tb927.9.15660:mRNA-p1
38,Tb09.v4.0010,4.8243948086012525,4.742936715152235,881.0,397.0,"variant surface glycoprotein (VSG), pseudogene",Tb09.v4.0010:mRNA-p1;Tb927.9.15680:pseudogenic_transcript-p1
39,Tb927.9.15850,6.1248251030074705,5.85749730905216,4136.0,3934.0,hypothetical protein,Tb927.9.15850:mRNA-p1;Tb09.v4.0110:mRNA-p1;Tb09.v4.0014:mRNA-p1
40,Tb09.v4.0015,6.797744195729169,4.797680649122459,5466.0,486.0,hypothetical protein,Tb09.v4.0015:mRNA-p1;Tb927.9.15870:mRNA-p1
41,Tb09.v4.0016,6.448088050082401,5.83637816385184,4883.0,3854.0,"expression site- associated gene (ESAG) protein, putative",Tb09.v4.0016:mRNA-p1;Tb11.v5.0463.1-p1;Tb927.9.15890:mRNA-p1
42,Tb09.v4.0017,5.2789819729341305,5.082131143089284,1967.0,1239.0,"rab1 (small gtp-binding protein rab1, putative)",Tb09.v4.0017:mRNA-p1;Tb927.9.15930:mRNA-p1
43,Tb09.v4.0067,6.394258525763765,7.078909339063153,4757.0,6072.0,"retrotransposon hot spot protein, pseudogene",Tb09.v4.0067:pseudogenic_transcript-p1
44,Tb09.v4.0107,5.530785016030119,4.917945402617151,2571.0,725.0,"expression site-associated gene 5 (ESAG5) protein, putative",Tb09.v4.0107:mRNA-p1
45,Tb09.v4.0111,4.142265422394855,4.496668221871645,50.0,131.0,"variant surface glycoprotein (VSG, pseudogene), putative",Tb09.v4.0111:pseudogenic_transcript-p1
46,Tb09.v4.0150,4.683525166477401,5.051049932128221,616.0,1123.0,"variant surface glycoprotein (VSG, pseudogene), putative",Tb09.v4.0150:pseudogenic_transcript-p1
47,Tb09.v4.0151,5.236688940227008,5.536093211950205,1860.0,2845.0,hypothetical protein,Tb09.v4.0151:mRNA-p1
48,Tb10.v4.0033,6.679869095227027,6.264506990290507,5301.0,4981.0,pumillo RNA binding protein PUF1,Tb10.v4.0033:mRNA-p1;Tb927.10.4430:mRNA-p1;Tb11.v5.0767.1-p1
49,Tb927.10.4440,6.003236610063919,5.302358104716949,3844.0,2005.0,predicted SAP domain protein,Tb927.10.4440:mRNA-p1;Tb10.v4.0034:mRNA-p1
50,Tb10.v4.0035,7.673219326847722,7.188232285437822,6332.0,6150.0,"stress-inducible protein STI1-like, putative",Tb10.v4.0035:mRNA-p1;Tb927.10.4450:mRNA-p1;Tb11.v5.0757.1-p1
51,Tb927.10.4460,6.371772501818886,6.095642881469376,4706.0,4591.0,"leucine carboxyl methyltransferase, putative",Tb927.10.4460:mRNA-p1;Tb10.v4.0036:mRNA-p1
52,Tb927.10.4470,5.472721193209867,4.768440880719502,2440.0,444.0,"hypothetical protein, conserved",Tb927.10.4470:mRNA-p1;Tb10.v4.0037:mRNA-p1
53,Tb927.10.4480,4.493301810355495,4.656403326337259,295.0,273.0,"DNA damage repair protein, putative",Tb927.10.4480:mRNA-p1;Tb10.v4.0038:mRNA-p1
54,Tb927.10.4500,6.0013649617640885,5.4234807071111355,3841.0,2470.0,cap guanine-N7 methyltransferase,Tb927.10.4500:mRNA-p1;Tb10.v4.0040:mRNA-p1
55,Tb10.v4.0041,6.031987133089633,6.401420557839433,3922.0,5235.0,"PUB domain containing protein, putative",Tb10.v4.0041:mRNA-p1;Tb927.10.4510:mRNA-p1
56,Tb927.10.4330,5.95008594198792,6.340882998323202,3712.0,5125.0,"2-oxoisovalerate dehydrogenase beta subunit, mitochondrial precursor, putative",Tb927.10.4330:mRNA-p1;Tb11.v5.1012.1-p1;Tb10.v4.0043:mRNA-p1
57,Tb927.10.4320,5.779006782791561,5.459491280882889,3256.0,2578.0,"hypothetical protein, conserved",Tb927.10.4320:mRNA-p1;Tb10.v4.0044:mRNA-p1
58,Tb927.10.4310,6.916191431839415,7.544089453192979,5650.0,6370.0,"prohibitin 2, putative",Tb927.10.4310:mRNA-p1;Tb10.v4.0045:mRNA-p1
59,Tb10.v4.0052,7.419587019935372,7.243831537754779,6192.0,6206.0,microtubule-associated protein 2,Tb10.v4.0052:mRNA-p1
60,Tb10.v4.0066,6.5916918152693444,5.488439313363492,5153.0,2665.0,"expression site-associated gene 3 (ESAG3, pseudogene), putative",Tb10.v4.0066:pseudogenic_transcript-p1
61,Tb10.v4.0071,4.76218005722647,5.033631447298928,763.0,1065.0,"variant surface glycoprotein (VSG, pseudogene), putative /product",Tb10.v4.0071:pseudogenic_transcript-p1
62,Tb10.v4.0109,7.473994306903482,5.1598241550954205,6228.0,1506.0,"variant surface glycoprotein (VSG, pseudogene), putative",Tb10.v4.0109:pseudogenic_transcript-p1
63,Tb10.v4.0217,5.925698261421195,5.29856497384875,3659.0,1990.0,hypothetical protein,Tb10.v4.0217:mRNA-p1
